id,num_rooms,location_quality,star_rating,review_score,occupancy_rate,amenities_score,business_facilities,leisure_facilities,distance_to_city_center,average_daily_rate,city,hotel_chain,month,season,number_of_bookings,revPAR,average_length_of_stay,competitors_average_price,transport_accessibility_score,customer_satisfaction_index,cancellation_rate
18,203,Average,2,3.48,51.44,1,1,0,5.77,80.54,San Francisco,Sheraton,11,Fall,48,41.43,2.22,65.86,3.82,77.10,0.03
19,174,Good,4,4.99,85.96,4,1,0,6.32,96.86,Miami,Marriott,4,Spring,48,83.26,3.03,114.97,5.02,86.52,0.14
20,240,Poor,3,1.42,100.00,1,1,1,6.37,100.97,San Francisco,Hilton,8,Summer,55,100.97,3.57,87.82,4.81,82.63,0.17
21,103,Excellent,4,4.82,52.93,4,1,1,5.32,108.47,Chicago,Sheraton,5,Spring,69,57.41,3.30,126.40,1.82,92.25,0.00
22,171,Good,4,2.36,2.63,1,0,0,6.08,81.81,Miami,InterContinental,9,Fall,73,2.15,2.57,89.51,9.31,91.24,0.06
23,65,Poor,4,2.48,54.54,2,1,1,2.91,98.70,San Francisco,Hilton,12,Winter,44,53.83,4.21,94.80,5.31,88.20,0.11
24,70,Average,1,2.94,77.67,4,1,1,4.43,98.50,New York,Hilton,10,Fall,63,76.50,3.04,117.49,8.25,82.55,0.03
25,108,Poor,3,3.53,37.85,4,0,0,5.49,60.26,Miami,Marriott,7,Summer,63,22.81,5.19,34.82,2.20,75.98,0.18
26,117,Poor,2,3.54,50.87,2,1,0,2.72,75.09,San Francisco,Hilton,7,Summer,71,38.20,2.23,88.68,8.00,92.36,0.12
27,181,Good,3,4.11,52.38,3,1,0,2.50,97.03,New York,Hilton,6,Summer,74,50.83,1.96,90.65,7.99,75.98,0.09
28,157,Poor,3,2.38,46.60,4,1,0,6.02,78.78,Los Angeles,InterContinental,5,Spring,57,36.71,1.19,56.92,1.24,88.37,0.00
29,82,Good,3,1.51,63.58,4,0,0,4.65,66.32,New York,Hilton,2,Winter,51,42.17,3.26,65.53,6.10,75.92,0.03
30,158,Good,3,3.69,86.11,3,1,1,5.86,121.72,Chicago,Sheraton,3,Spring,73,104.82,4.92,142.68,1.79,88.14,0.12
31,156,Good,3,1.54,22.49,2,1,1,0.22,115.71,Miami,Marriott,12,Winter,70,26.02,4.55,132.99,8.53,80.50,0.06
32,125,Average,3,1.97,40.97,5,0,0,8.75,77.07,San Francisco,Hilton,7,Summer,65,31.57,1.84,112.10,7.52,72.16,0.17
33,152,Good,4,4.70,50.67,1,1,1,6.43,108.12,Chicago,Hyatt,8,Summer,63,54.79,5.75,113.70,5.46,96.52,0.11
34,50,Average,1,2.36,38.47,5,0,1,3.95,102.41,New York,Hilton,1,Winter,61,39.40,1.41,119.36,6.75,73.61,0.08
35,129,Good,5,2.19,57.18,4,1,1,5.43,104.31,Los Angeles,Sheraton,11,Fall,55,59.65,1.68,63.41,6.81,80.26,0.08
36,165,Average,3,2.15,18.09,2,1,0,5.73,80.77,Los Angeles,Hilton,7,Summer,76,14.61,3.21,53.64,9.33,98.56,0.19
37,115,Excellent,4,3.67,52.97,5,0,1,11.94,94.63,Chicago,Sheraton,10,Fall,62,50.13,3.07,115.18,9.18,70.03,0.07
38,102,Excellent,4,4.28,72.16,2,1,1,7.71,112.12,San Francisco,Hilton,7,Summer,50,80.90,2.50,91.11,6.97,88.22,0.16
39,188,Average,2,1.06,72.95,2,1,1,6.45,112.13,Los Angeles,Sheraton,3,Spring,58,81.80,2.66,119.52,2.18,89.58,0.15
40,103,Poor,3,2.50,70.72,4,1,1,3.78,114.84,Miami,Hyatt,1,Winter,57,81.22,3.06,118.69,6.54,90.30,0.00
41,83,Good,3,4.86,51.39,5,0,0,5.27,80.00,New York,Sheraton,8,Summer,65,41.11,3.76,61.82,2.53,88.04,0.01
42,137,Average,4,1.73,88.41,3,1,0,3.26,100.27,Miami,Hyatt,12,Winter,57,88.66,4.10,111.23,6.47,77.17,0.16
43,147,Good,3,2.33,64.39,3,1,1,2.88,116.82,Miami,Hilton,6,Summer,77,75.22,3.54,147.54,8.24,81.37,0.19
44,154,Poor,4,4.42,42.50,3,1,0,7.48,75.84,New York,Hyatt,3,Spring,61,32.23,2.97,59.19,1.88,76.22,0.05
45,170,Average,5,2.23,91.07,4,1,1,6.80,115.21,Los Angeles,Hilton,6,Summer,70,104.91,1.83,124.52,9.65,76.93,0.20
46,98,Good,4,3.10,44.14,2,1,0,1.51,96.06,San Francisco,Sheraton,5,Spring,57,42.41,3.73,79.96,2.11,72.94,0.10
47,174,Good,3,4.91,41.08,2,1,0,7.70,88.12,New York,InterContinental,8,Summer,51,36.20,2.75,75.52,7.85,92.50,0.19
48,189,Good,1,1.75,76.10,4,1,1,7.28,100.56,Miami,Marriott,11,Fall,66,76.52,3.25,118.34,7.05,70.90,0.02
49,194,Average,3,3.59,43.66,3,1,0,6.55,82.55,San Francisco,Hilton,9,Fall,75,36.05,2.59,92.19,7.97,82.99,0.02
50,56,Good,3,3.13,49.31,5,0,0,6.13,95.49,Los Angeles,Hyatt,10,Fall,58,47.09,3.79,124.24,6.02,78.77,0.14
51,106,Poor,3,2.08,100.00,5,1,0,4.69,87.13,Los Angeles,InterContinental,10,Fall,53,87.13,3.20,78.44,9.69,73.20,0.01
52,190,Good,1,3.35,55.51,5,0,0,9.11,85.23,Los Angeles,Hilton,9,Fall,59,47.31,3.78,95.73,3.43,76.78,0.11
53,65,Good,4,1.88,74.69,2,1,0,3.21,108.54,Miami,Hyatt,2,Winter,63,81.07,4.03,96.45,7.31,78.98,0.15
54,80,Good,2,2.24,74.98,2,1,0,4.04,95.35,Miami,InterContinental,10,Fall,71,71.49,2.09,81.48,3.37,89.72,0.06
55,91,Excellent,4,3.01,68.14,2,1,1,6.64,132.04,San Francisco,Hyatt,1,Winter,67,89.97,3.89,108.63,8.47,93.19,0.12
56,72,Good,3,3.73,47.44,5,1,1,3.10,112.55,New York,Hilton,3,Spring,62,53.40,3.22,93.96,1.84,70.98,0.09
57,107,Good,5,2.44,35.25,1,1,0,4.99,83.20,Miami,InterContinental,10,Fall,59,29.33,3.68,84.49,6.78,87.03,0.02
58,191,Good,4,3.92,55.55,2,1,1,4.31,100.26,New York,Hyatt,10,Fall,61,55.69,3.53,124.11,9.47,89.02,0.05
59,159,Good,2,2.85,33.32,3,0,1,5.42,112.01,New York,Hyatt,11,Fall,60,37.32,4.03,94.62,5.94,77.48,0.17
60,179,Average,3,4.91,53.49,5,1,1,2.22,103.57,San Francisco,InterContinental,4,Spring,60,55.40,3.00,99.43,9.62,77.54,0.17
61,86,Poor,3,3.53,41.85,4,1,0,3.83,55.65,Chicago,Hilton,12,Winter,50,23.29,3.60,119.39,7.55,87.02,0.15
62,177,Good,4,2.43,70.06,4,1,0,5.82,96.79,San Francisco,Hyatt,3,Spring,74,67.81,2.90,150.58,3.17,95.68,0.07
63,69,Average,3,1.75,70.15,5,1,1,6.38,95.27,New York,Hyatt,6,Summer,62,66.83,3.02,93.94,4.84,99.46,0.14
64,96,Average,2,3.18,46.07,4,0,1,6.87,100.21,San Francisco,Hilton,4,Spring,57,46.17,1.71,107.26,7.21,79.53,0.09
65,84,Excellent,2,2.27,43.22,4,0,1,9.56,103.56,Chicago,Hyatt,10,Fall,60,44.75,3.48,132.11,8.97,71.13,0.14
66,89,Good,2,1.07,50.26,4,0,1,2.16,94.60,Miami,Hilton,2,Winter,72,47.54,2.58,129.30,2.10,79.05,0.16
67,136,Excellent,2,2.85,68.09,5,1,0,5.26,110.71,Miami,Hyatt,8,Summer,60,75.38,4.17,152.83,4.81,91.76,0.13
68,119,Excellent,5,1.63,38.12,2,1,0,2.74,85.98,New York,Sheraton,1,Winter,69,32.78,3.26,77.95,3.20,77.10,0.08
69,117,Average,2,3.22,60.10,5,1,1,8.01,101.18,San Francisco,InterContinental,2,Winter,62,60.81,4.90,105.03,1.02,83.37,0.15
70,192,Excellent,2,3.51,66.79,4,1,1,3.46,114.72,Los Angeles,Hilton,2,Winter,51,76.62,2.22,136.59,6.46,74.66,0.15
71,177,Excellent,4,1.34,78.11,2,1,1,4.92,117.61,New York,Marriott,12,Winter,66,91.86,1.00,139.91,8.33,95.99,0.18
72,257,Good,2,3.74,65.79,3,1,1,8.92,104.15,Los Angeles,InterContinental,10,Fall,50,68.52,2.77,112.85,5.10,88.13,0.19
73,165,Poor,2,3.22,73.93,5,1,0,5.57,80.61,San Francisco,Hilton,5,Spring,68,59.60,3.00,84.27,5.08,91.59,0.01
74,119,Good,4,4.85,39.71,3,1,1,5.57,117.68,Los Angeles,Sheraton,11,Fall,65,46.73,3.34,97.47,9.42,91.53,0.01
75,203,Average,4,4.87,34.80,3,1,1,6.17,111.70,Miami,Sheraton,12,Winter,71,38.88,3.65,108.99,1.29,71.20,0.09
76,88,Excellent,4,1.53,64.74,2,1,0,8.74,110.69,San Francisco,InterContinental,12,Winter,63,71.66,2.66,94.27,1.33,73.41,0.17
77,113,Good,3,2.20,44.31,3,1,1,0.83,97.60,San Francisco,InterContinental,8,Summer,60,43.25,1.20,89.67,3.10,91.78,0.06
78,90,Good,4,4.06,52.67,3,1,1,4.51,118.00,Los Angeles,Sheraton,7,Summer,64,62.16,3.08,151.93,4.18,71.14,0.03
79,85,Average,3,1.65,39.92,5,1,0,2.32,93.54,San Francisco,Sheraton,2,Winter,66,37.34,3.51,79.71,5.89,89.03,0.02
80,118,Good,4,3.89,21.75,4,0,0,5.47,87.84,Miami,InterContinental,1,Winter,58,19.10,2.59,63.23,6.46,97.40,0.19
81,148,Average,2,1.10,100.00,4,1,0,2.60,87.21,Los Angeles,Marriott,2,Winter,65,87.21,3.06,94.39,3.96,72.24,0.03
82,139,Good,2,1.82,71.89,4,1,0,2.48,100.40,New York,Hilton,1,Winter,59,72.18,1.80,107.42,1.01,85.58,0.13
83,131,Poor,4,4.13,43.63,1,1,1,4.52,91.97,New York,InterContinental,1,Winter,61,40.13,2.89,93.72,5.68,92.66,0.14
84,76,Average,4,2.58,75.26,1,1,0,6.73,83.74,New York,Sheraton,7,Summer,50,63.03,1.10,100.97,4.10,95.58,0.05
85,169,Good,2,2.52,65.21,2,1,1,2.94,97.03,San Francisco,Hyatt,4,Spring,56,63.27,2.64,99.27,5.57,89.93,0.17
86,131,Average,3,3.30,62.36,1,0,1,6.04,83.07,Chicago,InterContinental,9,Fall,58,51.80,1.86,86.17,4.51,97.45,0.19
87,145,Average,2,3.83,73.57,5,1,1,4.32,104.72,Miami,Hyatt,8,Summer,62,77.04,2.57,105.76,6.26,91.75,0.09
88,161,Good,4,4.06,40.31,4,1,1,6.55,109.08,Los Angeles,Hilton,10,Fall,71,43.97,1.56,154.32,1.56,97.30,0.12
89,126,Good,3,3.45,61.99,2,1,0,7.72,96.32,New York,Marriott,12,Winter,54,59.71,4.03,99.78,3.35,93.12,0.14
90,102,Average,4,3.63,40.82,5,1,1,4.98,97.35,Miami,Marriott,2,Winter,59,39.74,3.91,99.83,8.92,73.05,0.03
91,136,Average,4,4.79,77.39,2,1,0,3.56,99.24,Chicago,InterContinental,1,Winter,41,76.80,3.16,122.04,3.25,83.15,0.12
92,84,Good,5,4.10,82.11,3,1,1,2.67,113.65,Los Angeles,Marriott,11,Fall,68,93.31,3.50,106.12,1.16,93.99,0.11
93,117,Poor,3,4.90,69.78,5,0,1,4.75,100.24,Miami,Hyatt,11,Fall,62,69.95,3.05,80.43,3.36,71.05,0.02
94,223,Good,5,1.72,64.84,1,1,0,1.85,91.51,San Francisco,InterContinental,2,Winter,51,59.34,3.76,95.54,4.31,79.26,0.00
95,129,Excellent,1,2.91,83.27,4,0,1,7.30,91.06,San Francisco,Hyatt,2,Winter,44,75.83,2.43,107.77,3.83,75.01,0.13
96,43,Average,3,3.65,53.86,2,1,0,6.74,92.53,San Francisco,Hyatt,7,Summer,59,49.84,3.17,89.60,8.77,96.98,0.03
97,112,Good,3,1.41,47.14,2,1,1,9.24,111.35,Los Angeles,InterContinental,3,Spring,68,52.49,3.75,102.15,9.92,93.89,0.01
98,148,Poor,4,2.55,81.35,2,1,1,7.91,126.69,New York,Hilton,3,Spring,59,103.06,3.22,79.23,4.16,82.12,0.11
99,106,Poor,1,4.52,51.65,4,1,1,3.76,95.80,Los Angeles,Hyatt,9,Fall,69,49.48,1.96,109.77,3.71,94.89,0.05
100,71,Poor,3,4.70,62.42,2,1,1,2.79,85.10,Miami,Marriott,2,Winter,63,53.12,3.64,101.50,7.82,84.80,0.09
101,244,Excellent,3,3.21,58.18,4,0,1,3.50,107.53,Chicago,Marriott,10,Fall,70,62.56,2.89,109.03,4.97,79.34,0.02
102,122,Good,3,3.90,49.70,1,1,0,4.37,93.60,Los Angeles,Hilton,5,Spring,67,46.51,3.71,90.51,6.67,88.96,0.13
103,167,Good,3,2.44,47.11,1,1,0,5.09,82.16,New York,InterContinental,3,Spring,67,38.71,3.77,94.06,1.48,96.42,0.14
104,85,Excellent,2,1.99,94.94,4,1,1,6.23,117.55,San Francisco,Hilton,4,Spring,56,111.60,4.30,141.46,7.72,73.90,0.13
105,123,Average,3,1.74,78.05,5,0,1,3.95,93.79,Los Angeles,Sheraton,11,Fall,60,73.20,3.25,88.94,9.68,80.83,0.17
106,34,Average,3,2.02,49.24,4,1,0,1.58,92.36,Chicago,Sheraton,2,Winter,66,45.48,2.94,110.42,3.07,85.05,0.16
107,153,Good,2,4.10,60.46,2,1,0,5.22,101.43,Miami,Hyatt,3,Spring,57,61.32,2.30,115.31,9.25,91.45,0.01
108,209,Poor,1,2.20,62.62,4,1,0,5.25,76.80,Miami,Sheraton,4,Spring,63,48.09,2.69,79.13,9.65,73.87,0.15
109,84,Poor,3,1.51,61.94,5,1,0,2.48,91.77,Miami,Marriott,3,Spring,61,56.84,2.69,72.62,7.82,93.04,0.13
110,184,Poor,3,4.87,71.32,2,1,1,4.40,107.35,Chicago,Hilton,7,Summer,56,76.56,4.28,86.35,6.25,92.21,0.05
111,108,Average,4,4.80,21.32,3,1,1,4.88,94.20,New York,InterContinental,9,Fall,62,20.08,3.48,83.57,4.35,93.78,0.17
112,85,Good,4,4.48,75.42,5,0,1,6.47,110.33,Miami,Hilton,1,Winter,54,83.21,1.32,81.85,4.12,79.33,0.09
113,75,Good,2,4.01,70.62,1,1,1,3.33,90.69,New York,Hyatt,5,Spring,48,64.04,1.13,96.03,6.55,85.02,0.10
114,133,Good,2,2.23,87.06,3,1,1,2.61,104.50,San Francisco,InterContinental,3,Spring,58,90.98,3.06,95.35,8.18,87.07,0.19
115,194,Excellent,3,2.53,82.63,2,1,0,3.74,108.90,San Francisco,Hyatt,7,Summer,58,89.99,2.90,128.87,3.39,94.11,0.04
116,114,Good,3,4.81,52.17,4,1,1,4.79,105.12,Los Angeles,Hyatt,5,Spring,59,54.85,2.87,91.19,3.52,93.48,0.15
117,66,Average,4,3.16,30.20,4,1,0,5.41,94.04,San Francisco,InterContinental,8,Summer,51,28.40,3.01,125.55,9.34,97.93,0.11
118,171,Excellent,4,3.02,35.06,5,1,0,5.55,92.88,Los Angeles,Sheraton,3,Spring,62,32.56,3.00,93.23,2.68,82.26,0.05
119,152,Good,3,4.88,40.60,1,1,1,6.50,127.56,San Francisco,Hyatt,8,Summer,55,51.80,3.07,150.87,1.75,77.66,0.12
120,38,Average,3,3.72,36.90,4,1,1,5.35,77.97,Los Angeles,Hyatt,10,Fall,52,28.78,1.91,72.45,5.83,91.59,0.05
121,169,Average,4,2.68,69.56,4,1,1,2.61,98.39,Miami,InterContinental,3,Spring,66,68.44,4.48,81.21,8.93,77.29,0.12
122,88,Average,3,4.03,65.14,3,0,0,3.92,81.44,Miami,Marriott,8,Summer,52,53.05,1.79,86.57,1.94,78.22,0.02
123,122,Excellent,2,2.72,50.64,4,0,1,5.78,79.24,Chicago,InterContinental,10,Fall,60,40.13,3.40,93.84,6.29,86.89,0.15
124,107,Excellent,5,2.31,78.48,1,1,0,4.58,109.84,New York,InterContinental,1,Winter,54,86.20,3.55,81.97,4.00,88.43,0.09
125,151,Excellent,3,2.56,47.01,4,1,0,6.64,85.76,San Francisco,Marriott,3,Spring,58,40.31,2.19,109.97,8.96,80.38,0.18
126,163,Poor,3,4.98,100.00,2,1,1,3.72,112.24,Chicago,Marriott,11,Fall,71,112.24,2.13,104.15,7.22,84.25,0.20
127,107,Good,3,4.31,42.20,5,1,1,5.37,114.20,Chicago,InterContinental,2,Winter,69,48.20,1.74,110.07,1.57,76.23,0.17
128,178,Average,4,2.46,65.94,2,0,1,6.20,92.77,San Francisco,InterContinental,12,Winter,67,61.17,4.27,62.38,7.48,83.72,0.17
129,173,Good,3,4.69,72.49,5,1,1,6.49,123.83,New York,InterContinental,2,Winter,53,89.77,2.52,140.56,7.87,80.49,0.16
130,149,Good,5,4.32,93.09,5,1,1,5.59,119.61,San Francisco,Sheraton,3,Spring,66,111.34,2.01,133.05,1.77,87.71,0.02
131,183,Good,5,4.20,49.90,2,1,1,5.73,96.85,San Francisco,Hyatt,12,Winter,58,48.33,1.00,65.09,2.72,72.72,0.09
132,167,Poor,1,1.85,75.97,2,1,0,1.58,83.09,Los Angeles,InterContinental,1,Winter,57,63.13,1.55,29.05,3.02,77.38,0.17
133,40,Good,5,4.55,64.58,5,1,1,4.14,126.12,Chicago,InterContinental,10,Fall,63,81.45,3.33,121.53,3.00,99.20,0.08
134,141,Good,3,2.95,37.79,1,0,1,5.91,94.31,Chicago,Hyatt,5,Spring,53,35.64,3.73,64.15,9.49,72.31,0.17
135,148,Good,5,2.56,61.65,2,1,1,2.86,103.58,New York,Marriott,8,Summer,43,63.85,2.52,89.56,8.15,81.86,0.01
136,150,Good,5,3.58,25.09,3,1,0,3.33,97.37,San Francisco,InterContinental,5,Spring,43,24.43,3.18,140.96,3.28,72.09,0.05
137,134,Good,3,2.17,62.33,2,0,1,0.80,119.59,Chicago,Sheraton,11,Fall,55,74.54,4.20,113.27,1.27,76.36,0.07
138,257,Good,3,4.29,68.21,1,1,0,5.69,95.47,Miami,Hilton,8,Summer,71,65.12,4.10,99.89,9.64,89.93,0.01
139,180,Poor,3,3.89,42.88,2,0,0,6.73,77.74,Miami,Sheraton,2,Winter,67,33.33,3.25,60.98,7.34,87.35,0.00
140,177,Average,1,4.05,58.14,5,1,1,4.45,98.99,San Francisco,Marriott,1,Winter,53,57.55,1.00,108.93,6.24,91.89,0.18
141,193,Excellent,4,1.42,30.34,2,0,1,5.78,101.19,Miami,Hyatt,11,Fall,54,30.70,1.96,123.54,7.41,90.99,0.10
142,218,Average,3,1.07,75.60,2,1,1,2.50,105.83,Chicago,Sheraton,11,Fall,50,80.01,2.85,117.11,2.30,98.26,0.03
143,61,Average,2,3.11,88.94,2,1,0,5.58,63.99,Chicago,Hyatt,5,Spring,69,56.92,3.44,42.57,1.86,91.63,0.09
144,197,Poor,4,4.27,66.32,2,1,1,6.14,107.36,New York,Sheraton,8,Summer,50,71.20,1.72,144.04,8.84,85.82,0.10
145,158,Average,1,2.92,72.38,2,0,1,6.09,84.77,Miami,InterContinental,6,Summer,61,61.36,4.20,67.00,5.08,99.35,0.14
146,173,Excellent,3,1.15,46.18,5,1,1,2.41,98.77,Chicago,Hilton,4,Spring,63,45.61,3.87,67.14,6.75,90.02,0.05
147,86,Average,3,1.31,92.17,4,1,1,2.61,111.40,San Francisco,Marriott,2,Winter,58,102.68,2.21,122.12,1.13,89.27,0.11
148,142,Good,3,2.19,97.64,1,1,1,6.58,115.79,Los Angeles,Hyatt,2,Winter,69,113.05,3.16,123.05,2.41,73.62,0.19
149,114,Good,2,4.64,100.00,2,0,0,6.77,99.41,Los Angeles,InterContinental,9,Fall,57,99.41,3.88,103.92,3.29,91.42,0.15
150,143,Average,2,4.63,38.32,1,1,1,4.96,111.06,San Francisco,Marriott,11,Fall,54,42.56,2.16,102.17,7.02,73.05,0.12
151,107,Average,2,4.79,100.00,3,1,1,7.28,89.21,Miami,Hilton,11,Fall,51,89.21,4.20,104.91,3.80,70.08,0.07
152,69,Excellent,4,1.37,67.01,3,1,1,6.85,117.87,Chicago,Sheraton,8,Summer,63,78.99,4.06,88.46,5.23,97.67,0.15
153,121,Average,3,3.69,51.09,5,0,0,6.20,69.16,Los Angeles,Marriott,7,Summer,60,35.33,5.42,46.03,1.88,74.32,0.04
154,56,Average,4,1.74,100.00,4,1,1,3.54,102.88,Los Angeles,Sheraton,9,Fall,63,102.88,3.25,128.21,7.52,80.47,0.05
155,136,Average,3,2.62,18.07,4,0,1,1.34,89.43,New York,InterContinental,4,Spring,56,16.16,4.23,63.83,6.37,91.47,0.17
156,188,Average,3,4.99,50.28,2,0,1,2.78,84.19,New York,Hilton,1,Winter,48,42.33,3.37,77.61,4.89,75.63,0.17
157,205,Good,4,4.55,51.29,1,1,0,7.32,93.51,Chicago,InterContinental,11,Fall,60,47.97,2.99,90.24,8.81,91.06,0.01
158,203,Average,4,1.38,66.92,3,1,1,9.89,105.02,Los Angeles,Hilton,3,Spring,69,70.28,1.86,91.73,8.31,95.10,0.14
159,56,Average,1,4.31,34.98,3,1,1,0.12,81.82,Los Angeles,InterContinental,4,Spring,55,28.62,2.40,80.89,4.37,93.09,0.11
160,175,Good,2,1.60,67.76,2,1,0,8.10,86.53,Miami,Hyatt,9,Fall,44,58.63,4.58,102.87,8.38,97.70,0.17
161,87,Good,3,1.00,87.24,2,0,1,5.16,102.48,Chicago,Sheraton,3,Spring,59,89.40,2.18,109.19,4.02,89.87,0.13
162,68,Good,4,4.00,40.47,4,1,0,4.67,94.69,Los Angeles,Sheraton,4,Spring,66,38.32,2.78,108.88,1.39,92.59,0.18
163,72,Excellent,3,3.36,42.50,3,0,0,4.51,86.42,Los Angeles,Hilton,4,Spring,86,36.73,4.29,39.90,2.55,90.14,0.10
164,186,Excellent,4,2.76,79.03,4,1,0,3.84,100.13,Los Angeles,Marriott,3,Spring,58,79.13,2.71,99.49,5.54,85.34,0.14
165,64,Good,4,3.45,77.18,3,1,0,6.03,99.88,Miami,Hyatt,8,Summer,56,77.08,4.20,135.23,4.53,70.40,0.15
166,196,Good,1,1.63,38.14,4,1,0,4.13,107.42,New York,Sheraton,6,Summer,69,40.97,3.60,102.34,3.53,70.46,0.12
167,118,Average,4,3.17,77.09,4,0,1,4.59,89.07,San Francisco,InterContinental,5,Spring,51,68.66,2.84,77.35,2.14,94.72,0.15
168,81,Good,1,4.33,42.92,3,1,1,4.90,103.17,Chicago,Sheraton,9,Fall,62,44.28,3.11,117.31,1.24,71.30,0.01
169,135,Poor,1,3.67,57.39,1,1,0,1.07,81.06,Chicago,Hyatt,6,Summer,68,46.52,2.33,65.14,8.89,95.78,0.13
170,158,Average,3,1.22,62.03,1,1,1,6.21,105.72,New York,Hilton,2,Winter,54,65.58,2.52,116.47,7.33,71.21,0.07
171,157,Good,2,1.84,52.13,4,1,0,3.67,97.60,Chicago,Marriott,7,Summer,58,50.89,1.00,110.27,6.97,74.36,0.02
172,158,Good,2,1.69,14.64,2,1,0,4.55,76.16,San Francisco,Hyatt,10,Fall,69,11.15,3.04,51.03,8.16,75.95,0.07
173,92,Average,4,4.30,74.45,4,1,0,3.71,68.55,Miami,Hyatt,9,Fall,55,51.03,2.60,64.02,3.96,98.28,0.14
174,118,Poor,2,4.72,34.21,3,1,1,5.55,86.02,New York,Hilton,5,Spring,72,29.43,3.06,72.14,3.52,77.44,0.06
175,101,Good,4,1.81,75.60,4,0,0,7.38,79.59,Chicago,Hyatt,7,Summer,55,60.17,2.86,66.25,8.64,75.58,0.12
176,100,Good,3,1.52,50.51,1,1,1,6.34,82.72,Chicago,InterContinental,2,Winter,64,41.78,3.34,105.57,5.99,93.81,0.13
177,137,Good,3,1.02,67.32,3,1,0,8.40,90.91,San Francisco,Hyatt,11,Fall,64,61.20,2.23,90.57,8.13,97.56,0.12
178,54,Average,5,1.04,14.80,3,1,1,7.22,106.55,San Francisco,Sheraton,11,Fall,64,15.77,3.55,148.20,1.56,91.70,0.07
179,88,Excellent,1,1.65,87.14,4,1,0,7.13,94.50,San Francisco,Marriott,6,Summer,61,82.35,3.29,81.43,8.87,71.82,0.09
180,113,Poor,3,3.77,38.17,5,1,0,6.06,95.65,New York,Hyatt,9,Fall,56,36.51,3.94,138.07,2.82,89.24,0.09
181,175,Good,2,1.29,65.25,3,1,1,4.18,104.78,Chicago,InterContinental,1,Winter,48,68.37,2.66,104.13,8.92,81.02,0.19
182,145,Good,2,1.04,42.65,3,1,0,2.89,91.24,Miami,Marriott,11,Fall,74,38.91,1.11,101.10,7.88,90.32,0.03
183,238,Average,4,1.90,40.55,1,1,0,5.91,94.92,San Francisco,Marriott,9,Fall,49,38.49,1.98,111.88,6.20,72.59,0.14
184,36,Poor,3,1.52,61.06,3,1,0,5.48,89.42,San Francisco,Hyatt,6,Summer,55,54.61,2.36,90.62,5.53,81.48,0.07
185,139,Good,3,4.59,85.46,3,1,1,2.44,134.79,San Francisco,Hyatt,1,Winter,61,115.19,2.22,173.80,4.56,81.61,0.16
